AIRPORT,count
Hartsfield-Jackson Atlanta International Airport,1387344.0
Chicago O'Hare International Airport,1143536.0
Dallas/Fort Worth International Airport,958204.0
Denver International Airport,784220.0
Los Angeles International Airport,778692.0
San Francisco International Airport,592032.0
Phoenix Sky Harbor International Airport,587260.0
George Bush Intercontinental Airport,586488.0
McCarran International Airport,532724.0
Minneapolis-Saint Paul International Airport,448468.0
